OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
184;"CMSA-GAWP-15";"Telcamera";"Eigen voeding via lichtnet";330;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/langzaam-verkeer-tellingen-amsterdamse/";"POINT(4.8314612 52.2954312)";"POINT(52.2954312 4.8314612)";4.8314612;52.2954312
185;"CMSA-GAWP-16";"Telcamera";"Eigen voeding via lichtnet";60;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/langzaam-verkeer-tellingen-amsterdamse/";"POINT(4.8228468 52.2929643)";"POINT(52.2929643 4.8228468)";4.8228468;52.2929643
186;"CMSA-GAWP-20";"Telcamera";"Eigen voeding via lichtnet";45;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/langzaam-verkeer-tellingen-amsterdamse/";"POINT(4.8123181 52.3046393)";"POINT(52.3046393 4.8123181)";4.8123181;52.3046393
187;"CMSA-GACM-02";"3D sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8926959 52.3736129)";"POINT(52.3736129 4.8926959)";4.8926959;52.3736129
199;"CMSA-GVCV-05-A-IJpleinWest";"Telcamera";"Eigen voeding via lichtnet";340;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.9057274 52.3785379)";"POINT(52.3785379 4.9057274)";4.9057274;52.3785379
200;"CMSA-GVCV-05-B-IJpleinOost";"Telcamera";"Eigen voeding via lichtnet";40;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.9057415 52.3785354)";"POINT(52.3785354 4.9057415)";4.9057415;52.3785354
201;"CMSA-NDW-01";"3D sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(5.1536179 52.0948928)";"POINT(52.0948928 5.1536179)";5.1536179;52.0948928
202;"CMSA-GASP-01-Noord";"3D sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/privacy-verkeersonderzoeken/";"POINT(4.8506664 52.3443789)";"POINT(52.3443789 4.8506664)";4.8506664;52.3443789
203;"CMSA-GASP-02-Zuid";"3D sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/privacy-verkeersonderzoeken/";"POINT(4.8511177 52.3435469)";"POINT(52.3435469 4.8511177)";4.8511177;52.3435469
204;"GVCV-09 Zeeburg";"Telcamera";"Eigen voeding via lichtnet";85;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/#hc7fb38cc-2d96-4855-a903-1a24e587111a";"POINT(4.9495769 52.3744128)";"POINT(52.3744128 4.9495769)";4.9495769;52.3744128
